id,Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS
678333,Male,33.0,1.67,75.0,0,1,2.0,3.0,Sometimes,0,2.0,0,1.0,0.0,Sometimes,Automobile
648332,Female,18.0,1.58,39.0,0,1,2.8,3.0,Sometimes,0,2.0,0,2.0,1.0,Sometimes,Public_Transportation
495333,Female,19.773303,1.602082,45.0,0,0,3.0,3.0,Frequently,0,2.875583,1,1.269169,0.0,Sometimes,Public_Transportation
155635,Female,22.0,1.71,69.0,0,1,2.0,1.0,0,0,1.0,0,1.0,0.0,Sometimes,Public_Transportation
909431,Female,19.0,1.55,45.0,0,1,3.0,3.0,Sometimes,0,1.0,0,2.0,1.0,Sometimes,Public_Transportation
163058,Female,18.0,1.7,55.0,1,1,3.0,3.0,Sometimes,0,2.0,0,0.0,1.0,Sometimes,Automobile
504510,Male,19.0,1.62,69.0,0,1,3.0,3.0,Sometimes,0,2.0,0,1.0,2.0,Sometimes,Public_Transportation
188447,Female,21.0,1.65,80.0,0,1,2.0,4.0,Frequently,0,2.0,0,2.0,1.0,Frequently,Public_Transportation
163617,Male,18.0,1.758787,85.050558,1,1,2.0,3.0,Sometimes,0,2.87781,0,1.0,0.03921,Sometimes,Public_Transportation
705720,Male,31.783524,1.827279,89.98168,1,1,2.948425,3.715148,Sometimes,0,1.781769,0,1.0,0.993786,Sometimes,Automobile
691806,Male,20.586978,1.751278,57.145917,1,1,2.0,3.0,Sometimes,0,2.843777,0,2.429923,0.009254,0,Automobile
848997,Female,41.0,1.65,80.0,1,0,3.0,1.0,Sometimes,0,3.0,0,2.0,0.0,Sometimes,Automobile
160683,Female,33.722449,1.643786,77.224574,1,1,3.0,2.920373,Sometimes,0,1.0,0,1.684582,0.0,Sometimes,Automobile
110489,Male,25.341399,1.835381,120.996074,1,1,3.0,3.0,Sometimes,0,3.0,0,1.089344,0.396352,Sometimes,Public_Transportation
403269,Male,33.0,1.7,83.0,0,1,2.0,3.0,Sometimes,0,2.0,0,2.0,0.0,Frequently,Automobile
144345,Female,23.0,1.68,67.0,0,1,3.0,3.0,Frequently,0,2.0,0,0.0,1.0,0,Public_Transportation
755719,Female,25.908431,1.668642,104.807284,1,1,3.0,3.0,Sometimes,0,1.551266,0,0.197993,0.58284,Sometimes,Public_Transportation
914417,Female,25.986185,1.644141,102.813033,1,1,3.0,3.0,Sometimes,0,1.032834,0,0.069802,0.434073,Sometimes,Public_Transportation
773476,Male,23.0,1.72,80.0,1,1,2.0,3.0,Sometimes,0,2.0,0,1.0,2.0,0,Public_Transportation
490763,Female,23.0,1.63,60.0,1,1,3.0,1.0,Sometimes,0,3.0,0,2.0,1.0,Sometimes,Public_Transportation
648314,Female,24.0,1.6,66.0,1,1,3.0,3.0,Sometimes,0,2.0,0,1.0,0.0,0,Public_Transportation
579731,Male,18.0,1.704193,52.069992,0,1,1.202075,3.0,Sometimes,0,2.0,0,0.520407,1.0,Sometimes,Public_Transportation
735527,Male,21.0,1.6,65.0,0,0,2.0,3.0,Sometimes,0,2.0,0,1.0,0.0,0,Public_Transportation
730952,Male,24.408805,1.756221,119.490976,1,1,1.264234,3.0,Sometimes,0,2.36651,0,0.926592,0.906247,Sometimes,Public_Transportation
826493,Female,18.850466,1.650052,87.27989,1,1,2.954417,3.0,Sometimes,0,2.854161,0,1.006884,1.0,0,Public_Transportation
663312,Male,17.689057,1.713599,83.285753,1,1,2.009952,3.0,Sometimes,0,1.660614,0,1.0,0.020153,Sometimes,Public_Transportation
325045,Female,21.0,1.62,70.0,1,1,2.0,1.0,0,0,3.0,0,2.0,1.0,Sometimes,Public_Transportation
304057,Male,34.0,1.7,80.0,1,1,3.0,3.0,Frequently,0,2.0,0,0.0,0.0,Sometimes,Automobile
720619,Female,21.0,1.62,70.0,0,1,3.0,1.0,Sometimes,0,2.0,0,1.0,0.0,Sometimes,Public_Transportation
117915,Male,27.93982,1.694642,99.605527,1,1,2.0,3.0,Sometimes,0,2.0,0,1.621733,0.0,0,Public_Transportation
710920,Male,22.200779,1.793378,105.000789,1,1,2.0,3.0,Sometimes,0,2.300666,0,0.005939,0.0,Sometimes,Public_Transportation
530317,Female,23.0,1.6,65.0,1,0,3.0,1.0,Frequently,0,3.0,0,1.0,0.0,0,Public_Transportation
762303,Male,21.0,1.74,100.0,1,1,2.0,3.0,Sometimes,0,3.0,0,3.0,2.0,0,Public_Transportation
896424,Male,22.906886,1.872517,121.458232,1,1,2.684335,2.749334,Sometimes,0,1.0,0,1.051889,0.0,Sometimes,Public_Transportation
221963,Male,30.722801,1.759772,120.919703,1,1,2.341999,3.0,Sometimes,0,2.988771,0,0.614959,1.285373,Sometimes,Automobile
622097,Male,24.361936,1.65,93.890682,1,1,1.253371,3.0,Sometimes,0,2.793505,0,1.392026,0.527766,0,Public_Transportation
311444,Male,33.0,1.83,85.0,1,0,2.0,3.0,Sometimes,0,2.0,0,2.0,0.0,Sometimes,Automobile
898137,Male,18.0,1.78,109.0,1,0,2.0,3.0,Sometimes,0,2.0,0,1.0,2.0,Sometimes,Public_Transportation
107054,Female,40.0,1.56,80.0,1,1,2.0,3.0,Sometimes,0,1.0,0,0.0,0.0,0,Public_Transportation
447868,Female,18.0,1.7,85.0,1,1,2.0,3.0,Frequently,0,2.0,0,2.0,1.0,Frequently,Public_Transportation
776188,Male,30.444081,1.767563,118.436166,1,1,2.530233,3.0,Sometimes,0,2.038958,0,1.018158,1.152899,Sometimes,Automobile
682398,Female,26.0,1.631856,111.945588,1,1,3.0,3.0,Sometimes,0,2.987718,0,0.0,0.552006,Sometimes,Public_Transportation
959862,Male,31.56724,1.767077,118.26569,1,1,2.341999,3.0,Sometimes,0,2.117733,0,0.148628,0.0,Sometimes,Automobile
920741,Female,21.285965,1.746529,133.936535,1,1,3.0,3.0,Sometimes,0,2.868167,0,1.433151,0.926443,Sometimes,Public_Transportation
338663,Female,26.0,1.629727,110.600553,1,1,3.0,3.0,Sometimes,0,2.654517,0,0.0,0.452236,Sometimes,Public_Transportation
718284,Male,20.0,1.85,85.0,1,1,3.0,3.0,Sometimes,0,2.0,0,2.0,1.0,Frequently,Public_Transportation
213044,Female,25.816445,1.668649,104.754958,1,1,3.0,3.0,Sometimes,0,1.290979,0,0.162083,0.766668,Sometimes,Public_Transportation
555456,Female,18.94093,1.763987,137.79299,1,1,3.0,3.0,Sometimes,0,2.709654,0,1.464674,0.735868,Sometimes,Public_Transportation
560371,Female,43.726081,1.614182,84.134712,1,1,2.576449,2.740492,Sometimes,0,1.228838,0,0.886817,0.0,0,Automobile
197911,Male,18.0,1.812259,108.9606,1,1,2.0,2.19011,Sometimes,0,2.297896,0,1.0,1.339232,0,Public_Transportation
648675,Male,25.66668,1.84842,120.644178,1,1,2.938801,3.0,Sometimes,0,3.0,0,1.628637,0.0,Sometimes,Public_Transportation
764593,Female,21.28253,1.748584,133.166595,1,1,3.0,3.0,Sometimes,0,2.825629,0,1.501754,0.723366,Sometimes,Public_Transportation
784324,Male,29.216019,1.84842,122.119682,1,1,2.880792,2.993623,Sometimes,0,1.591597,0,0.976425,0.0,Sometimes,Automobile
766364,Female,26.0,1.812963,106.875927,1,1,3.0,3.0,Sometimes,0,2.621976,0,0.0,0.465607,Sometimes,Public_Transportation
227875,Male,26.490926,1.879144,115.025361,1,1,2.927218,3.0,Sometimes,0,2.042073,0,0.55181,1.58483,Sometimes,Public_Transportation
292231,Male,21.0,1.62,60.0,0,1,2.0,3.0,Sometimes,0,1.0,0,1.0,0.0,Sometimes,Public_Transportation
820690,Male,22.0,1.75,95.0,1,1,2.0,3.0,Sometimes,0,3.0,0,3.0,0.0,0,Public_Transportation
723801,Female,20.0,1.7,50.0,0,1,1.005578,4.0,Frequently,0,1.0,0,2.0,1.0,Sometimes,Public_Transportation
643061,Male,22.283082,1.872517,112.536367,1,1,2.0,2.880817,Sometimes,0,3.0,0,0.0,1.103349,Sometimes,Public_Transportation
440613,Female,26.0,1.65,70.0,1,0,3.0,1.0,Sometimes,0,3.0,0,1.0,0.0,Sometimes,Public_Transportation
211931,Male,21.016665,1.812259,105.037463,1,1,2.0,3.0,Sometimes,0,2.147746,0,0.0,1.657098,Sometimes,Public_Transportation
573442,Female,18.0,1.63,56.0,1,1,2.0,1.0,Sometimes,0,2.0,0,0.0,2.0,0,Public_Transportation
280203,Male,17.0,1.8,93.0,1,1,2.0,3.0,Sometimes,0,1.0,0,2.0,2.0,Sometimes,Walking
457197,Female,26.0,1.653209,111.933152,1,1,3.0,3.0,Sometimes,0,2.708927,0,0.0,0.092736,Sometimes,Public_Transportation
828359,Male,24.0,1.7,80.0,1,1,2.0,3.0,Always,0,2.0,0,0.0,2.0,0,Public_Transportation
963051,Female,21.682367,1.782453,137.859737,1,1,3.0,3.0,Sometimes,0,2.770125,0,1.999897,0.912345,Sometimes,Public_Transportation
554165,Male,30.595632,1.909188,129.874864,1,1,2.490776,3.0,Sometimes,0,1.984323,0,0.854957,0.020044,Sometimes,Public_Transportation
596297,Male,18.0,1.78,90.0,1,1,2.0,3.0,Sometimes,0,2.0,0,1.0,2.0,Sometimes,Public_Transportation
769277,Male,21.0,1.62,54.0,1,1,3.0,1.0,Sometimes,0,3.0,0,1.0,0.0,Sometimes,Public_Transportation
945595,Male,21.0,1.62,70.0,0,0,2.0,1.0,0,0,3.0,0,1.0,0.0,Sometimes,Public_Transportation
112875,Female,23.664709,1.66877,114.480696,1,1,3.0,3.0,Sometimes,0,2.506518,0,0.000272,0.247332,Sometimes,Public_Transportation
549625,Female,21.67447,1.673665,121.205171,1,1,3.0,3.0,Sometimes,0,1.484938,0,0.063383,0.723154,Sometimes,Public_Transportation
832241,Male,18.0,1.763101,55.523481,1,1,2.786008,3.0,Sometimes,0,1.962646,1,0.028202,1.561272,Sometimes,Public_Transportation
890706,Male,17.0,1.8,50.0,0,1,2.0,4.0,Frequently,0,2.0,0,1.0,2.0,Sometimes,Public_Transportation
848971,Female,26.0,1.630927,111.485516,1,1,3.0,3.0,Sometimes,0,2.444125,0,0.0,0.258472,Sometimes,Public_Transportation
281390,Female,42.337283,1.556579,80.0,1,1,2.0,3.0,Sometimes,0,2.090413,0,0.0,0.0,Sometimes,Automobile
266424,Male,18.0,1.64,58.0,0,1,2.0,3.0,Frequently,0,2.0,0,0.0,1.0,0,Public_Transportation
398064,Female,19.0,1.52,42.3,0,1,3.0,3.0,Frequently,0,1.0,1,1.0,0.0,Sometimes,Public_Transportation
877352,Male,21.652229,1.700181,75.057177,1,1,2.021446,3.546352,Sometimes,0,1.453626,0,0.992717,0.096982,Sometimes,Public_Transportation
103919,Female,22.0,1.68,52.0,0,1,3.0,3.0,Frequently,0,2.0,0,0.0,0.0,0,Public_Transportation
961264,Female,19.058511,1.456346,55.523481,0,1,2.0,3.0,Sometimes,0,1.0,1,1.781589,1.944177,Sometimes,Public_Transportation
